Id,ParentId,Name
1043,1018,"Anchors, Chocks & Ground Tackle"
1044,1018,Anchor Rollers
1045,1018,Boat Hooks
1046,1018,Buoys
1047,1018,"Fenders, Bumpers"
1048,1018,"Line, Rope, Cordage"
1049,1019,Art & Sculptures
1050,1019,"Bedding: Sheets, Fitted Mattresses"
1051,1019,"Books, Music, CD-ROM's & Videotapes"
1052,1019,"Carry-Bags, Backpacks & Luggage"
1053,1019,Clothing & Footwear
1054,1019,Foul Weather Gear
1055,1019,Furniture & Furnishings
1056,1019,Jewelry
1057,1019,Pet Products
1058,1019,"Sunglasses, Protective Eyewear"
1059,1019,Swimwear & Beach Accessories
1060,1020,Brushes (For Painting & Cleaning)
1061,1020,Carpet Materials & Floor Coverings
1062,1020,Cleaners & Polishes
1063,1020,Fiberglass Restorer
1064,1020,Metal Polish
1065,1020,"Paints, Finishes, Removers & Preservatives"
1066,1020,"Cleaning Rags, Mops, Chamois, Dusters"
1067,1021,Acrylic & Plastics
1068,1021,"Compounds: Adhesives, Caulking, Glue"
1069,1021,Decking
1070,1021,Fiberglass
1071,1021,"Mouldings, Trim & Rubrails"
1072,1021,Resin
1073,1021,Teak Products
1074,1021,De-Icing Equipment
1075,1022,"Sails, Sailmakers"
1076,1022,"Covers For: Boat, Sails, Seats, Deck"
1077,1022,Bimini Tops
1078,1022,Cockpit Shelters
1079,1022,Towers & Tops
1080,1023,Dinghy Davits
1081,1023,Dock Boxes
1082,1023,Boat Lifts
1083,1023,Cleats & Dock Hardware
1084,1023,Cradles
1085,1023,Davits
1086,1023,"Dock & Pier Installations, Mooring Systems"
1087,1023,Hoists & Forklifts
1088,1023,Power Pedestals
1089,1023,Shrink-wrap & Wrapping Systems
1090,1023,"Yard Equipment: Boat Stands, Cradles, Yard Cranes"
1091,1023,Docks
1092,1023,"Dockside Equip: Carts, Pumpouts, Power Connects"
1093,1024,Batteries: Storage & Accessories
1094,1024,"Alternate Energy Sources: Solar, Water, Wind"
1095,1024,"Electrical Equipment: Generators, Connectors, Panels"
1096,1024,Direction Finders
1097,1024,"Navigational Instruments: Sextants, Piloting Aids"
1098,1024,Engine Controls
1099,1024,Environmental Control Systems
1100,1025,"Acoustic Materials, Noise Suppression"
1101,1025,Sealing Systems & Materials
1102,1025,Zincs
1103,1025,"Compressors, Air & Gas"
1104,1025,Radars
1105,1025,Aftermarket Engine & Outdrive Parts
1106,1025,"Bearings, Seals & Gaskets"
1107,1025,Corrosion Protection
1108,1025,Engine Accessories & Systems
1109,1025,Engine Parts
1110,1025,Exhaust Systems
1111,1025,"Gears, Shafts & Associated Equipment"
1112,1025,Manifolds & Heat Exchangers
1113,1025,Oils & Lubricants
1114,1025,Outboard Parts
1115,1025,Starters & Alternators
1116,1025,Transmissions & Transmission Kits
1117,1026,"Indicators: Battery, Engine, Fuel, Speedometers"
1118,1026,Speakers
1119,1026,"Cameras, Underwater Cameras &Photography Equipment"
1120,1026,Television & Video Systems
1121,1026,Electric and Cable TV Wiring & Services
1122,1027,Fishing Knives
1123,1027,Bait
1124,1027,Fishing Equipment & Accessories
1125,1027,Fishing Line
1126,1027,Lures
1127,1027,Reels
1128,1027,Rods
1129,1028,Baitwells
1130,1028,Fighting Chairs
1131,1028,Fish Finders
1132,1028,Outriggers & Downriggers
1133,1028,Rod Holders
1134,1029,"Additives: Cooling Systems, Diesel, Gasoline, Oil"
1135,1029,"Filters, Oil & Fuel"
1136,1029,Fuel Systems & Components
1137,1029,Fuel Tanks & Accessories
1138,1029,Stabilizers
1139,1029,Fuel Handling Systems
1140,1030,Microwaves
1141,1030,Cookware & Grills
1142,1030,Ice Chests & Coolers
1143,1030,Galley Equipment
1144,1031,Boarding Devices
1145,1031,Brackets & Instrument Housing
1146,1031,Doors/Windows
1147,1031,Fasteners
1148,1031,"Railings, Pulpits & Stanchions"
1149,1031,"Swim Platforms, Ladders"
1150,1031,Tubing: Aluminum & Stainless
1151,1031,"Windshields, Hatches & Portholes"
1152,1032,"Electric Systems, Interior Lights, Lighting Equip."
1153,1032,Underwater Lights
1154,1032,Navigation and Running Lights
1155,1033,Windlasses
1156,1033,Compasses
1157,1033,"Computers, Monitors, LCD Displays"
1158,1033,Computer Software
1159,1033,Depth Sounders
1160,1033,Marine Stereos
1161,1033,Panels & Gauges
1162,1033,Radiotelephones
1163,1033,"Telephones: Marine, Cellular, Long Distance Svc."
1164,1034,"Navigational Electronics: Satnav, Loran, GPS"
1165,1034,Windvane Self-Steering Gears
1166,1034,Autopilots
1167,1034,Binoculars & Telescopes
1168,1034,"Clocks, Chronometers & Barometers"
1169,1034,Wind & Weather Instruments
1170,1034,Antennas
1171,1034,Maps & Charts
1172,1035,Bilge Pumps & Blowers
1173,1035,"Desalinators: Water Purifiers, Water Makers"
1174,1035,Hose and Hose Fittings
1175,1035,"Pumps, Circulation and Water Systems"
1176,1035,Toilets and Sanitation Equipment
1177,1035,"Water Systems, Plumbing"
1178,1036,Hydrofoils
1179,1036,"Steering Wheels, Rudders & Systems"
1180,1036,Trim Tabs
1181,1036,Propellers
1182,1036,Trim Plates
1183,1037,Battery Chargers
1184,1037,"Alarm, Security & Monitoring Systems"
1185,1037,"Detectors (CO, Gas, Smoke)"
1186,1037,Distress Signals & EPIRBs
1187,1037,Fire Extinguishers & Systems
1188,1037,First Aid Supplies
1189,1037,Flare Guns
1190,1037,"Horns, Sirens & Whistles"
1191,1037,Lettering & Numbers
1192,1037,Life Rafts
1193,1037,Personal Flotation Devices (PFDs)
1194,1037,Survival Equipment
1195,1037,Water Safety Devices
1196,1037,Flags & Pennants
1197,1038,Sailboat Rigging
1198,1038,"Spars, Booms, and Masts"
1199,1038,Winches
1200,1039,"Fabrics, Upholstery & Interior Coverings"
1201,1039,Vinyl
1202,1039,Seats & Seat Hardware
1203,1039,Chairs: Deck & Beach
1204,1040,Boat Dollies
1205,1040,Boat Trailers
1206,1040,Hydraulic Trailers
1207,1040,Jacks & Winches
1208,1040,Personal Watercraft Trailers
1209,1040,Trailer Parts & Accessories
1210,1041,"Air Conditioning, Ventilation & Heating"
1211,1041,"Dehumidifiers, Air Filtration"
1212,1041,Refrigeration Equipment
1213,1042,Oars & Paddles
1214,1042,"Air Tanks, Compressors & Maintenance"
1215,1042,Diving Equipment: Skin & Scuba Gear
1216,1042,Sailboard Accessories
1217,1042,"Snorkels, Masks & Fins"
1218,1042,Towables
1219,1042,Trampolines (Anchored)
1220,1042,Wakeboards
1221,1042,Water Skis & Accessories
1222,1042,"Wetsuits, Drysuits & Gloves"
